"Company", "Logo", "Size", "Position Title", "Type Of Contract", "Role", "Description", "Location", "Career Page", "Created Time", "Tags", "Compensation Estimate", "Contact" 
"GOhiring GmbH", "https://image.remoteful.dev/placeholder.png", "N/A", "Financial Accounting Manager:in (German-speaking)", "N/A", "N/A", "Als strategischer Technologie-Partner für datenbasiertes Recruiting vernetzt GOhiring Arbeitgeber, Bewerbermanagementsysteme, Agenturen und Jobbörsen. Wir sind seit mehr als 10 Jahren am Markt und arbeiten seit Tag eins 100% remote. Mit GOhiring Analytics schaffen wir Transparenz über die Wirkungen von Recruitingmaßnahmen und bieten den Marktteilnehmern so die Sicherheit, die jeweils beste Lösung für ihre aktuellen Herausforderungen zu identifizieren. Mit GOhiring Multiposting stellen wir die besten Verbindungen zu über 500 Jobbörsen im DACH-Raum her. Hinter GOhiring stehen schon jetzt 25+ ausgewiesene Spezialist:innen – und wir haben noch viel vor.Deine Rolle

Operative Buchhaltung: Du verantwortest unsere gesamte Buchhaltung (Kreditoren, Debitoren-, Anlagenbuchhaltung etc.). Die aktuellen gesetzlichen Regeln behältst du dabei im Blick. Du führst Zahlläufe sowie Monats- und Jahresabschlüsse durch, erstellst USt-Voranmeldungen und kommunizierst mit Steuerberatern, Kunden und Dienstleistern sowie unserem Service-, Sales- und Financeteam.
Arbeit am optimalen, digitalen Accounting-Prozess: Du führst bei uns eine ganzeitliche, interne Buchhaltung auf der Grundlage von DATEV Kanzlei Rechnungswesen ein. Du setzt einen möglichst digitalen Prozess auf, führst kleinere Tools ein und verbesserst die Schnittstellen zu unseren Kunden, unserem Steuerberater und den GOhiring-Teams. Mit dieser Aufbauarbeit schaffst du eine tragfähige Grundlage für deinen künftigen Wunsch-Joballtag als Accounting Manager.
Fachliche Anleitung: Du beantwortest fachliche Fragen von Berufsanfängern und Werkstudierenden in unserem Financeteam und teilst mit ihnen dein Know-how.

Dein Profil
Du bist ein(e) digital orientierter Buchhaltungsallrounder/in und hast schon alles gesehen (Debitoren, Kreditoren, Anlagen…). Das bringst du außerdem mit: 
Erfolgreich abgeschlossene Ausbildung mit Relevanz für die Buchhaltung - zum Beispiel als Bürokaufmann/kauffrau oder Steuerfachangestellt(e), idealerweise weitere Qualifikationen wie zum Beispiel Bilanzbuchhalter/in
Umfassende Berufserfahrung als Accounting Specialist oder Manager – idealerweise im Start-up- oder B2B-Umfeld
Tiefes DATEV-Know how (auch Kanzlei-Rechnungswesen), gute buchhaltungsrelevante HGB-Kenntnisse, idealerweise IFRS-Know-how
Interesse an den Digitalisierungspotenzialen in Buchhaltungsprozessen, idealerweise entsprechende Digitalisierungserfahrungen
Erste Praxis in der fachlichen Führung von Mitarbeiter:innen
Müheloses Deutsch und Englisch, mündlich wie schriftlich
Wir bieten
Den idealen Accountingprozess selbst gestalten: Bau mit an deinem idealen digitalen Buchhaltungsprozess. Fachlich wächst du mit uns mit, perspektivisch baust du dir ein kleines Team auf.
Remote Work: Arbeite von dort, wo du am produktivsten bist - sei es zu Hause, auf Reisen oder in unserem Office in Berlin. Deine Zeitzone sollte nur nicht mehr als 4h von der MEZ abweichen.
Bring your own device - we pay: Für deinen mobilen Job erhältst du ein Laptop und ein Smartphone deiner Wahl.
Arbeiten ohne Korsett: Freue dich auf Prozesse und Mindsets, die zu 100% auf zeitflexibles und ortsunabhängiges Arbeiten ausgerichtet sind.
Im kleinen Team Großes Bewegen: Wir glauben daran, dass kleine Teams mehr Spaß machen. Direkter Austausch, viel Gestaltungsspielraum, voneinander Lernen, das ist unser Verständnis von Produktivität.
Mehr als ein Job - Zukunft entdecken: Du arbeitest am Herzstück der Digitalisierung im Recruiting und entdeckst vielleicht den Job deines Lebens.

Hast du Lust die perfekte digitale Datengrundlage für Unternehmensentscheidungen mit dem Rückenwind einer digitalen Unternehmenskultur zu schaffen?
Dann schick uns einfach Deinen Lebenslauf oder LinkedIn / Xing Profil. Wir freuen uns darauf, mehr über Dich zu erfahren!
Wenn du routiniert genug bist, lässt sich diese Aufgabe auch in Teilzeit erfüllen (ab 30 Wochenstunden).
Diversität und Chancengleichheit sind uns wichtig. Wir freuen uns über das Interesse aller Kandidat:innen und bemühen uns um schnelles Feedback.", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY

    
      💰 $50K - $70K

    
      NON-TECH
    
      FINANCE
    
      ACCOUNTING", "N/A", "N/A" 
"SerpApi", "https://image.remoteful.dev/uploads/company/logo/10795/0816304e-21b0-4b57-9486-becacd256476.png", "N/A", "Senior Backend Engineer", "N/A", "N/A", "SerpApi is a real-time API to access search engine results. We solve the issues of having to rent proxies, solving captchas, and JSON parsing in an easy-to-use and integrate API for our customers.Our current stack is Ruby, Rails, MongoDB, and React.JS. We are looking for a Senior Backend Engineer. Experience in Ruby, JavaScript, web scraping, proxies, CAPTCHA solving, or browser tech is definitely a plus.
We have an awesome work environment: We are a remote-first company. We do continuous integration, continuous deployments, code reviews, code pairings, profit sharing, and most of the communication is async via GitHub. We value super-strongly transparency, do open books, have a public roadmap, and contribute to the EFF.
Interview steps: Intro Interview -> Code Challenge -> Tech Interview -> Tech Interview #2 (optional) -> Executive Interview.", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      RUBY
    
      RAILS
    
      MONGODB
    
      SCRAPING
    
      GIT", "N/A", "N/A" 
"MagicBell", "https://image.remoteful.dev/uploads/company/logo/10921/0d91f8e1-0565-4736-9fb8-69ff3563e499.png", "N/A", "Founding iOS Engineer at MagicBell [Async Remote]", "N/A", "N/A", "Your role
As our founding iOS engineer, you will help us launch our iOS SDK. Functionally, the SDK would be similar to the React SDK. It would offer our notification inbox to iOS developers. However, we'd like for you to optimize the UI/UX for a pleasant iOS experience. Like the React SDK, we want to support extensive customization, well-designed components, and even a lite-SDK to offer only the network layer. We'd love to optimize everything from supported gestures to animations for a best-in-class mobile experience. You will also be responsible for crafting the documentation and user guides and working with the early customers to help them integrate the SDK into their products.
As we grow, the opportunity to manage a team of mobile developers will surface. However, if you'd rather be a high-performing individual contributor, that's fine with us too.
Responsibilities

Defining the functional and technical spec of the application in close collaboration with the product team and our customers.
Working with the product manager to scope out stories and sprints.
Implement the functionality along with unit and integration tests. Setup builds using a CI system (We use CircleCI, but you can pick something else for mobile).
Hire, attract, and onboard other great engineers. You can help by referring candidates, writing blog posts about the technical challenges, and delivering tech talks at meetups and conferences. We are happy to cover any costs incurred.
Shape the culture of our company to create the next Stripe, Twilio, or your favorite company.
Be our developer evangelist: Our go-to-market strategy involves bottom-up developer adoption. Therefore, our entire team is an evangelist for our product - all of us write blog posts sharing what we have learned, and we talk to our users directly. (We have some of our biggest customers on a shared Slack workspace) 


We love building with our own API. In the past, we have built some fun little hacks to get developer attention, like our Hacker News Chrome extension and Firefox add-on. We plan to build more of these as we grow, so hit us up if you have any ideas!

 


Requirements
These requirements have been selected to make sure you'd be successful at the job. Please read them carefully:

4+ years of experience working on iOS with Swift. Experience in shipping SDKs is a major plus.
Experience writing test-driven code with an understanding of integration testing. We require a minimum of two years of test-driven development experience.
Willingness to go above and beyond. For example, keeping track of new security vulnerabilities that might impact us or fixing customer issues proactively and notifying them.
Enjoy taking on challenging responsibilities. (We are a startup, after all!) This includes maintaining our uptime and finding creative ways to help customers achieve their goals.
Good writing ability as demonstrated by documentation, README, or blog posts you have written.
Excellent communication skills in English. This helps immensely as a remote team.

Nice-to-Have

An ability to ship an MVP quickly so we can attract feedback early.
An eye for UX and an understanding of the iOS design patterns.
A good understanding of software architecture & object-oriented design patterns (like SOLID).
A desire to start your own startup either now or in the future. Startups are hard, and this aspiration will help you appreciate the challenges in the job. You'll get hands-on learning of what building an early-stage startup is like. As a bonus, the founders are prolific angel investors and eager to invest in the startups of our alumni.

Interesting Challenges
As our founding mobile engineer, you will get to own this product end-to-end. This will naturally present many challenges to you. Here are some that we foresee:

Performant state management across multiple devices with real-time synchronization.
Building robust logging and analytics to help our customers understand the flow of their notifications.
Engineering reliability and performance so we can scale up with our customers.
Improving the UX/DX as you build new features or improve existing ones. Keeping new releases backward compatible for as long as we can.

A big reason why we love working on MagicBell is that we get to build for other developers. You'll get to work with some of the brightest engineers (our customers) to help them build notifications faster than they ever imagined. We routinely chat with them on our Slack Community (join us there!).
The Offer
We pay well and offer meaningful equity (every full-time employee has equity). We can't match Google/Facebook in their perks, but we make sure you have everything you need to do the best work you have done in your career.
Location: Fully remote
Salary: $120k - $170k (or more if you have a lot more experience than our requirements)

Equity: 0.50% - 1.00% with standard 4-year vesting and an extended 10-year exercise window after 2 years in service. Read why this matters.
Hours: Up to 40 hrs/week. While we don't overwork routinely, as a startup, there are times when you need to work beyond your regular work hours or fix something on the weekend. If that is a strict no for you, we suggest not applying.
Flexible work: We require the EST 10 am to 1 pm overlap, and the rest of the time is up to you to manage. Few meetings, mostly asynchronous communication, and other day-to-day details on our blog.
Time off: 30 working days a year (20 PTO and 10 public holidays. You are welcome to take sick days as you need them).
Benefits: Healthcare (with Dental & Vision in the US), paid time off, and an annual all-expense-paid retreat somewhere beautiful. $1k/yr to attend any conferences/events that you find useful.
WFH Support: $5k for computer, standing desk, mic, or anything else you need. Up to $300/mo for a co-working desk. If you need anything else, please ask.

If you read the entire job description, please list out which of the nice-to-haves you possess in the last question of the form.", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE

    
      💰 $120K - $170K

    
      SOFTWARE DEVELOPMENT
    
      SWIFT
    
      IOS
    
      SDK", "N/A", "N/A" 
"madewithlove", "https://image.remoteful.dev/placeholder.png", "N/A", "Senior Software Engineer (f/m/x) with a hands-on approach and a passion for data science", "N/A", "N/A", "This job posting is not for madewithlove, but for one of our clients whom we consciously chose to work with: 

DataStories International was founded in 2011 and has created the DataStories Platform and a Software Development Kit (SDK) that helps blue-chip clients make their products more sustainable, operations more transparent and effective, and decisions data-driven.
You can find more information about the company, the products and the team here: https://datastories.com.
Recently acquired by an international consulting group (Partners in Performance), this relatively small team is now taking it to the next level in terms of processes, finance, and technology.

What will you be doing
Your primary mission is to extend and maintain the SDK (a Python shell around the C++ computational engine (CE)), which is the core of the data analysis engine. Because the SDK is a crucial part of the entire product line, you will support the roadmap realization as well and help to define the direction of our products.

Develop and maintain the SDK

Support the implementation of the Platform features (as specified in the roadmap)
Offer a convenient and coherent way for data scientists to access the DataStories IP from a Jupiter Notebook.
Enable operationalization of DataStories models in client data analytics pipelines.
Identify and document product requirements as formulated during product meetings
Create designs and associated implementations
Document important design aspects in confluence
Create user documentation and support materials (e.g., example Jupyter notebooks, installation procedures, release notes, etc.)
Create and update test procedures for the SDK
Organize release test activities and generate overviews to be discussed with the product owner (CTO).


Other tasks to assist the development of the DataStories Platform:

Assist with development activities for integrating the SDK
Maintain the library of visualizations (VUE.js based) to be used in the SDK. This library should contain (for the most part) the same visualizations as used in the Platform.
Maintain a repository of important architectural and design items
As we are a small team, you will also assist with bug fixing across all product components (front-end, backend, worker).


Optional activities if interested:

Develop visualizations in VUE.js and JavaScript to support analysis and facilitate insight
Help maintaining of the build infrastructure (Jenkins/Conan/DevPI)


  

Requirements

!! Do not hesitate to apply if you do not fulfil 100% of the requirements. Superheroes don't exist, people with passion and talent do! (Except that you ideally live in Belgium or the Netherlands or at least must live within the time zones CET +/-3h)

Human skills
Working mostly remotely in a small team with many tasks to divide and a big technology stack, they are looking for:
Hands-on attitude: you should be ready to dive into the code at least 50% of your time.
Ability to work independently, but also to ask for help when needed.
Willingness to learn and to share knowledge.
Willingness to do a few things beyond your normal scope and comfort zone.


Technical skills

You are an experienced software engineer with a proven track record of specifying, implementing, and maintaining complex software systems.
Ideally, you have worked in a research context, with complex systems to maintain, and have been actively involved in creating a product.
Master Degree in computer science.
You can communicate efficiently in English.
Good working knowledge of Python.
At least a first experience with C++.


Bonus points
The ideal candidate will also have some experience with the following:
AWS and/or Azure cloud
Javascript and VUE.js (nice if you know them, or are interested to learn)
Jenkins
working for and in a start-up environment



  
What you will be offered
DataStories is open to accepting freelancers under the condition that you are willing to commit yourself 100% and for the long term.Payroll employees will be offered a competitive salary and benefits package:
32 (20 + 12 ADV) days of paid vacation
Group insurance
Meal vouchers
Eco vouchers
Transportation budget
Company car if required
Bonus based on performance

Scaling the team is one of the company’s ambitions. When this happens, there will also be the opportunity to take up a more leading role.The strengths of a good mix

We specifically encourage underrepresented groups to apply. We believe in the strengths of well-balanced and mixed teams. We hope our applications will attract a broader audience regarding gender, religion, race, age, disability, linguistic differences, socioeconomic status, or sexual orientation.", "EUROPE-ONLY", "N/A", "Dec 30", "🇪🇺 EUROPE-ONLY

    
      💰 $70K - $90K

    
      SOFTWARE DEVELOPMENT
    
      PYTHON
    
      C++
    
      DATA SCIENCE
    
      JENKINS", "N/A", "N/A" 
"WPMU DEV / Incsub, LLC", "https://image.remoteful.dev/uploads/company/logo/5983/68cdb8af-5dcf-475b-83e0-ec0fcf4bb348.png", "N/A", "PhP/WP Developer", "N/A", "N/A", "PHP/WP Developer
Stop dreaming about tomorrow, start making a difference today. Join our team and be the hero you’ve always known yourself to be!

Our band of superheroes are looking for a highly-motivated, ambitious individual who will join the team in creating and improving our most exciting products.

Location, that is unimportant, as long as you are available, enthusiastic, committed, passionate, and know your stuff.

RESPONSIBILITIES
For this role, we need a superhero who will take on the challenges of working in one of the leading WordPress companies, enhancing our website, products, and services, backed by a quality team of pros, some of the best in the world!

QUALIFICATIONS

Strong knowledge of the common PHP or web server exploits and their solutions
Complete knowledge of WordPress architect ( eg. custom post types, WordPress Hooks and existing WordPress functions)
Knowledge of how to interact with RESTful APIs and formats (JSON, XML)
Proficient understanding of code versioning tools (we use GIT)
Good at debug, and must have problem solving skills.
Basic understanding of front-end technologies, such as vanilla JavaScript (not jQuery), HTML5, and CSS3

BONUS POINTS

Understanding of Object-Oriented Programming (OOPs)
Experience with front-end development tools such as Webpack, NPM, Gulp, etc..
Write code with accessibility and web standards in mind

JOB BENEFITS

You will be provided with all of the tools, support, and backing you need to get the job done
28 days paid leave per annum (up to 35 days)
Opportunities for paid travel to attend WordCamps and other industry conferences
Long service leave (3 months off paid) after you’ve been with us for a while
Up to 2 months salary bonus based on company growth targets
Technology budgets every three years, the longer you serve, the higher the budget

WHAT SHOULD I DO NOW?
Download the PHP/WordPress Developer task sheet, answer those questions and then submit your application along with a copy of your CV. It’s that simple! (please avoid apostrophe in document name when uploading as this may cause an error and not upload correctly)", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      PHP
    
      WORDPRESS
    
      JSON
    
      XML
    
      GIT
    
      VANILLA JAVASCRIPT
    
      HTML5
    
      CSS3", "N/A", "N/A" 
"Conduktor Inc", "https://image.remoteful.dev/uploads/company/logo/9853/cc5c07ad-63be-4817-8b34-a6284ffb0aa4.png", "N/A", "Scala & Kafka Engineer", "N/A", "N/A", "At Conduktor our mission is to help companies operate their data by making their Apache Kafka journey easier. We’re an international startup and we are looking for highly motivated, tech/data-oriented people who want to share this amazing journey with us. We have thousands of happy users around the world from Fortune 500 companies, and we need your help to scale up!We are looking for experimented Kafka Software Engineers to join our team of very experimented Scala/ZIO Engineers and work on our various products. You can see how we work by reading our blog post: Open Sourcing our Scala API

The position is NOT a Data Engineer or DevOps position.
What will you be doing?
Be part of our backend teams to develop one of our products (Scala, ZIO, tapir, http4s, Caliban)
Review your peers' Github Pull Requests
Implement features using Scala/ZIO and enjoy removing technical debt (we have some in Kotlin)
Write ADRs with the other engineers to discuss the best solutions to a problem
(bonus) Assist pre-sales meetings and do support for our customers
What skills & experience do you need?
Years of industry experience building software with Scala and ZIO
Years working with Apache Kafka and its extensions (Kafka Connect, Streams, etc.)
Work with Github Pull Requests / commit your work to make it reviewable by your peers
Be open-minded, criticize existing code constructively and suggest alternatives.
(bonus) Knowledgeable about CQRS, Event Sourcing
(bonus) Kotlin, JavaFX knowledge (we have some!)", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      SCALA
    
      ZIO
    
      KAFKA
    
      FP
    
      B2B
    
      SAAS
    
      SENIOR
    
      REMOTE
    
      WORLDWIDE
    
      STARTUP", "N/A", "N/A" 
"Fusionbox", "https://image.remoteful.dev/uploads/company/logo/13071/e5e841e2-f874-4e36-bd67-6ff7ee39c566.png", "N/A", "Python/Django Engineer", "N/A", "N/A", "Fusionbox is a software engineering agency. Some notes about us:
We solve different types of problems every day
We think software design and system architecture are important
We embrace collaboration and education
We legally reserve the right to release all code we write to the Open Source community
We maintain several open source libraries and all our engineers contribute to open source regularly
We also love Python and Django. Fusionbox sponsors PyCon and DjangoCon every year, Django Girls and Meetup events, and we give talks on Python and Django. Some of our libraries have been subsumed under the Django core.
We make opportunities for all our engineers to explore areas of interest. Some examples are DevOps, front end applications, ETL, and application security.
Some of the technologies we currently use are Git, Salt, NGINX, Postgres, Django, Celery, and React and React Native.

About You
You do not necessarily come from a traditional computer science background, but you are passionate about Python. You want to get paid to write open source code. You prefer the agility and dynamics of a small team.

Do you like this stuff?
You don't have to be an expert in all of the following subjects, but if you feel comfortable with about half and you are interested in learning about the other half, you might be a great fit:

Python expertise is required and Django experience strongly preferred
Web Application Security, including common attacks and how to prevent them
Relational Database Design (PostgreSQL experience a plus)
To apply, send your resume to: [email protected].

About Fusionbox

We're small and we care about having happy people. Everyone here really truly loves what they do.
Our Values
Practice empathy, respect, and open communication for each other and our clients.
Do the best work we can and have fun while doing it.
Nurture a learning environment both for our team and our clients.
Celebrate and reward success through compensation, culture, and giving back to the community.
Pursue ethical work that aligns with our values.
We are committed to advancing Diversity, Equity and Inclusion within our organization.
We are hiring Mid to Senior level with a salary range between $75k-$120k depending on experience. Benefits include unlimited PTO, paid learning opportunities, half of healthcare benefits paid by us, partial 401k matching. PART TIME CANDIDATES WELCOME TO APPLY.

We do not use recruiters. This position is for candidates in the United States only; sorry, we're unable to offer visa sponsorship (except for TN qualifiers from Canada).

About FusionboxFusionbox is a software development agency in Denver, Colorado. We've helped companies develop secure, well-architected software since 2002.
We are a small team of talented Python Engineers and UX designers. To say Fusionbox is a builder of software is certainly true, but it’s a small part of the story. Within our code is a unique approach to business:
Hire people obsessed with problem-solving
Be human to tune in to our clients’ challenges
Use technology as a means to solve problems
Be the best at that
We've helped organizations large and small not only writing code, but developing their vision for how to get there. Our clients include the Colorado Lottery, FirstBank, Delta Dental, Boston Mutual Insurance and Citywide Banks.
Fusionbox believes strongly in diversity in tech and providing opportunities for BIPOC and the LGBTQ community. Our team provides pro bono and mentoring services to at-risk youth, the Denver Latinx community, Django Girls, and donates to communities who support diversity in tech.", "USA-ONLY", "N/A", "Dec 30", "🇺🇸 USA-ONLY

    
      💰 $70K - $130K

    
      SOFTWARE DEVELOPMENT
    
      PYTHON
    
      DJANGO
    
      POSTGRES
    
      REACT", "N/A", "N/A" 
"SerpApi", "https://image.remoteful.dev/uploads/company/logo/6606/d0abc89d-45a9-4fe7-b24a-1d1ec869d9ae.png", "N/A", "Senior Backend Engineer", "N/A", "N/A", "SerpApi is a real-time API to access search engine results. We solve the issues of having to rent proxies, solving captchas, and JSON parsing in an easy-to-use and integrate API for our customers.Our current stack is Ruby, Rails, MongoDB, and React.JS. We are looking for a Senior Backend Engineer. Experience in Ruby, JavaScript, web scraping, proxies, CAPTCHA solving, or browser tech is definitely a plus.We have an awesome work environment: We are a remote-first company. We do continuous integration, continuous deployments, code reviews, code pairings, profit sharing, and most of the communication is async via GitHub. We value super-strongly transparency, do open books, have a public roadmap, and contribute to the EFF.Interview steps: Intro Interview -> Code Challenge -> Tech Interview -> Tech Interview #2 (optional) -> Executive Interview.", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE


    
      SOFTWARE DEVELOPMENT
    
      RUBY
    
      RAILS
    
      MONGODB
    
      SCRAPING
    
      REDIS
    
      GIT", "N/A", "N/A" 
"Rare Edition", "https://image.remoteful.dev/uploads/company/logo/6222/8e9a47b6-18b5-4bc7-ade5-902779e26159.png", "N/A", "Rare Edition | Full-time | Onsite (Los Angeles or Portland) or Remote | Apply by email: [email protected]", "N/A", "N/A", "Rare Edition is a stealth startup in the collectibles space that is built by lifelong collectors, impassioned technologists, and seasoned operators. With the support of Craft Ventures, Jason Calacanis, and other celebrity investors, we’ve mapped out a plan to truly rewrite the fabric of this industry. We’re starting first with sports and trading cards and rare coins, and we’ve carefully considered how to reimagine the entire collectible-lifecycle—from software to hardware solutions, physical to digital ownership, and first-time to professional collectors—leaving no stone unturned. We’re a team that values relentless execution, fearless accountability, leaving a lasting impact in this space, and exceeding our customer’s expectations. If you’re a collector-veteran or just want to join a company with all the cards stacked in its favor, come and drop us a line.
Roles we're looking to fill:⚬ Senior Backend or Full Stack Engineers
⚬ Marketing ManagersTech stack: Node.js, Typescript, Angular, Swift, Kotlin, AWS, Postgres", "AMERICAS-ONLY", "N/A", "Dec 30", "AMERICAS-ONLY


    
      MARKETING
    
      FULL STACK
    
      SOFTWARE DEVELOPER
    
      ENGINEER
    
      JAVASCRIPT
    
      TYPESCRIPT
    
      NODE
    
      COMPUTER VISION
    
      NFT
    
      OWNERSHIP
    
      INVESTMENT
    
      VALUABLES
    
      PLATFORM
    
      VERTICALLY INTEGRATED", "N/A", "N/A" 
"API7.ai", "https://image.remoteful.dev/uploads/company/logo/14873/636bd925-4662-4f93-a85c-a3f193d9639d.png", "N/A", "NGINX/Lua/Go/API Gateway/Service Mesh Engineer for Open-Source Project", "N/A", "N/A", "Job Responsibilities：
1.Develop a next-generation API management and analysis platform based on Apache APISIX.
2.Maintain technological innovation in API Gateway, Service Mesh, and security.
3.Participate in the development of Apache APISIX.

Job Requirements：
1.In-depth knowledge of Apache APISIX or other API Gateways.
2.Passion for open-source culture and familiarity with open-source collaboration methods.
3.Good coding habits, agree with test-driven development.
4.Good documentation habits.
5.Familiar with service mesh and k8s ingress controller is preferred.
6.Open-source Experience.
7.1-3 years working experience.
8.NGINX, Lua, OpenResty code contributors are preferred.", "WORLDWIDE", "N/A", "Dec 30", "🌏 WORLDWIDE

    
      💰 $20K - $60K

    
      SOFTWARE DEVELOPMENT
    
      GO (GOLANG)
    
      LUA
    
      OPENRESTY
    
      NGINX
    
      OPEN-SOURCE，", "N/A", "N/A" 
